368 60
0 16 0
0 42 2
0 55 2
0 56 2
0 58 0
1 4 2
1 21 1
1 23 0
1 24 1
1 59 2
2 2 1
2 8 0
2 30 0
2 41 1
2 55 1
2 56 2
3 3 1
3 17 1
3 17 0
3 26 0
3 26 1
3 50 2
4 3 1
4 24 2
4 39 1
5 4 1
5 8 1
5 10 0
5 19 1
5 25 0
5 56 0
5 58 1
6 1 2
6 44 0
6 55 1
6 55 0
7 14 1
7 16 2
7 25 0
7 28 1
7 42 1
7 43 0
7 53 2
7 54 1
7 56 2
8 2 2
8 32 2
8 32 0
8 39 0
8 42 2
9 4 0
9 13 1
9 17 0
9 18 0
9 28 2
9 31 1
9 42 1
9 44 0
9 58 2
10 41 2
10 54 2
11 49 2
11 53 1
11 58 1
12 12 2
12 39 0
12 39 0
12 40 2
12 41 1
12 56 1
12 57 0
13 0 2
13 16 2
13 28 2
13 36 2
13 42 2
13 44 0
14 9 1
14 21 2
14 27 1
14 33 2
14 37 2
14 42 1
14 42 1
15 5 0
15 12 1
15 13 0
15 25 1
15 30 1
15 31 2
15 49 0
16 13 0
16 45 1
16 54 1
16 57 0
17 1 1
17 3 1
17 11 2
17 14 2
17 38 2
17 58 1
17 58 1
18 17 2
18 18 1
18 37 2
18 39 1
18 42 0
19 10 1
19 22 0
19 37 0
19 41 0
19 43 0
19 57 0
20 11 0
20 20 1
20 22 2
20 25 2
20 30 2
20 33 0
20 39 1
20 57 2
21 9 1
21 10 0
21 24 1
21 34 2
21 45 2
21 51 0
22 0 0
22 2 0
22 10 1
22 18 1
22 26 1
22 31 0
22 39 2
22 48 2
22 58 2
22 59 2
23 12 2
23 14 1
23 34 0
23 34 2
23 39 2
23 39 2
24 1 2
24 13 0
24 21 0
24 30 2
24 45 2
24 58 2
25 25 2
25 36 2
25 46 1
25 49 2
26 3 2
26 5 2
26 11 1
26 26 2
26 31 0
27 15 1
27 16 1
27 26 1
27 45 1
27 48 1
27 48 0
27 51 1
28 3 2
28 23 2
28 24 2
28 44 0
28 51 0
28 58 1
29 21 1
29 26 2
29 40 2
29 49 1
30 2 0
30 11 1
30 22 1
30 23 0
30 24 0
30 26 1
30 29 1
30 29 1
30 52 1
31 23 2
31 32 1
31 40 2
31 43 0
31 46 1
31 58 2
32 4 1
32 16 1
32 54 1
33 9 2
33 12 2
33 12 1
33 37 0
33 38 1
33 55 2
33 55 1
34 3 1
34 14 1
34 20 0
34 20 2
34 52 2
34 58 0
34 59 0
35 13 1
35 26 1
35 29 2
35 59 0
36 10 2
36 12 1
36 17 2
36 21 1
36 27 2
36 43 1
36 46 2
36 51 0
36 56 1
36 59 0
37 3 0
37 5 1
37 6 0
37 9 1
37 20 0
37 21 1
37 21 2
37 23 0
37 24 0
37 29 0
37 32 2
37 46 1
37 54 0
38 4 1
38 6 2
38 11 2
38 15 2
38 59 2
39 16 1
39 24 0
39 27 1
39 40 2
39 53 2
40 6 0
40 21 0
40 26 1
40 31 0
40 57 2
41 0 2
41 1 0
41 11 1
41 37 1
41 49 0
41 53 2
41 54 0
41 56 1
42 18 1
42 48 2
42 49 0
42 58 0
43 3 0
43 6 2
43 7 0
43 9 2
43 10 0
43 37 2
43 39 0
43 42 1
43 49 1
44 15 2
44 32 0
44 33 1
44 37 0
44 45 2
44 45 1
44 52 0
44 52 0
45 5 0
45 11 2
45 38 1
45 46 2
46 10 0
46 21 2
46 40 0
46 43 2
46 46 0
46 46 0
47 5 1
47 7 0
47 15 0
47 34 1
47 39 0
47 42 2
47 47 2
47 48 0
47 49 2
48 0 1
48 5 0
48 29 2
48 35 0
48 38 0
48 41 1
48 46 1
49 1 2
49 7 1
49 24 0
49 51 0
49 55 2
50 9 1
50 12 2
50 20 1
50 27 2
51 12 1
51 45 2
51 46 1
51 48 0
51 58 0
52 6 0
52 11 1
52 24 1
52 27 2
52 37 2
52 49 1
52 54 0
53 6 1
53 11 1
53 21 1
53 30 0
53 39 2
53 46 0
54 1 1
54 4 2
54 12 1
54 25 1
54 29 1
54 40 0
54 41 2
54 44 1
54 49 1
54 51 2
54 51 0
55 11 0
55 26 2
55 28 2
55 33 0
55 57 1
56 7 2
56 23 2
57 13 1
57 13 2
57 23 0
57 23 2
57 32 1
57 44 2
57 54 0
58 8 0
58 21 0
58 26 0
58 33 1
59 16 0
59 17 2
59 33 2
59 35 0
59 37 1
59 37 0
59 46 2
59 51 0
